Specific surface area,Pore volume,Average pore,Dosage,Initial concentration,Temperature,Contact time,pH,Adsorption capacity,Substrate_Fe-Mn binary compound,Substrate_MnO2,Substrate_MnOx,Modified_Chemical modification,Modified_Composite modification,Modified_Magnetic properties,Modified_Nano modification,Modified_Others,Heavy metal ions_As3+,Heavy metal ions_As5+,Heavy metal ions_Cd2+,Heavy metal ions_Co2+,Heavy metal ions_Cr3+,Heavy metal ions_Cr6+,Heavy metal ions_Cu2+,Heavy metal ions_Fe2+,Heavy metal ions_Hg2+,Heavy metal ions_Mn2+,Heavy metal ions_Ni2+,Heavy metal ions_Pb2+,Heavy metal ions_Sb3+,Heavy metal ions_Sb5+ ,Heavy metal ions_Zn2+
7.74,0.017,12.001,10,0.05,25,48,4,0.0025,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
456,0.432,1.19,0.2,20,26,24,7,34.34,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456,0.432,1.19,0.2,20,26,24,7,21.22,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
254.69,0.028,4.47,0.01,50,20,1,3,29.14,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143.2,0.437,18.45,0.1,10,25,2,6,59.93,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
144,0.4027,20.3,0.5,170,20,1.7,5,117.72,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,4027,20.3,0.5,180,20,3.3,5,60.19,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7.5,0.002,0.976,1,6,25,24,4,13.3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7.5,0.002,0.976,1,6,25,24,4,12.56,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,63.81,0.025,10,2,23,24,6.5,0.1906,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
750,63.81,0.025,10,0.1,23,4,6.5,0.00998,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77.527,0.301,15.561,0.5,50,30,0.25,5,128.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
